Film Adı;IMDb Puanı;Oy Sayısı;Yönetmen;Yazar;Tür;Bütçe;Ülke;Yorum Sayısı;Çıkış Yılı;Film Süresi;;;;
Ben-Hur;8,01;261000;William Wyler;Lew Wallace;Epic;$15,000,000 ;United States;526;1959;3h 32m;;;;
Cennetin Çocukları;8,01;85000;Majid Majidi;Majid Majidi;Drama;$180,000 ;Iran;203;1997;1h 29m;;;;
Barry Lyndon;8,01;191000;Stanley Kubrick;Stanley Kubrick;Drama;$11,000,000 ;United Kingdom;579;1975;3h 5m;;;;
12 Yıllık Esaret;8,01;759000;Steve McQueen;John Ridley;Drama;$20,000,000 ;United Kingdom;1000;2013;2h 14m;;;;
Gün Doğmadan;8,01;355000;Richard Linklater;Richard Linklater;Drama;$2,500,000 ;United States;679;1995;1h 41m;;;;
Ölüm Takibi;8,01;847000;Ridley Scott;Hampton Fancher;Artificial Intelligence;$28,000,000 ;United States;1.800;1982;1h 57m;;;;
Büyük Budapeşte Oteli;8,01;917000;Wes Anderson;Stefan Zweig;Caper;$25,000,000 ;United States;1.100;2014;1h 39m;;;;
Ölü Ozanlar Derneği;8,01;582000;Peter Weir;Tom Schulman;Coming-of-Age;$16,400,000 ;United States;892;1989;2h 8m;;;;
Savaş Vadisi;8,01;628000;Mel Gibson;Robert Schenkkan;Drama;$40,000,000 ;United States;1.200;2016;2h 19m;;;;
Kayıp Kız;8,01;1100000;David Fincher;Gillian Flynn;Thriller;$61,000,000 ;United States;1.800;2014;2h 29m;;;;
Cinayet Günlüğü;8,01;235000;Bong Joon Ho;Bong Joon Ho;Comedy;$2,800,000 ;South Korea;459;2003;2h 11m;;;;
